source_id,title,authors,year,category,source_type,access_rights,license_or_terms,url,pdf_url,local_path,status,notes
"rfc_full_001","Research on Rock-Filled Concrete Dam","Feng Jin; Hu Zhou; Xuehui An","2017","review; dam_engineering; construction_quality","open_access_pdf","open proceedings PDF","source terms not fully normalized","https://openlib.tugraz.at/download.php?id=5ad6f4c04671e&location=browse","https://openlib.tugraz.at/download.php?id=5ad6f4c04671e&location=browse","data/fulltext/open_access/rfc_full_2017_jin_research_on_rfc_dam_tugraz.pdf","downloaded","LTBD 2017 proceedings paper; useful overview before 2023 Engineering review"
"rfc_full_002","Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete","Song-Gui Chen; Chuan-Hu Zhang; Feng Jin; Peng Cao; Qi-Cheng Sun; Chang-Jun Zhou","2019","filling_capacity; numerical_modeling; scc_flow","open_access_pdf","open access","CC BY 4.0 on MDPI source page","https://www.mdpi.com/1996-1944/12/19/3128","https://mdpi-res.com/d_attachment/materials/materials-12-03128/article_deploy/materials-12-03128.pdf","data/fulltext/open_access/rfc_full_2019_chen_lbm_dem_materials_mdpires.pdf","downloaded","Publisher static PDF retained"
"rfc_full_003","Experimental Research on the Properties of Rock-Filled Concrete","Hai Wei; Guohui Zhang; Fanfan Sun; Mingming Wang; Wenhai Li; Juncai Xu","2019","mechanical_properties; field_test; material_properties","open_access_pdf","open access","CC BY 4.0 on MDPI source page","https://www.mdpi.com/2076-3417/9/18/3767","https://mdpi-res.com/d_attachment/applsci/applsci-09-03767/article_deploy/applsci-09-03767.pdf","data/fulltext/open_access/rfc_full_2019_wei_properties_applsci_mdpires.pdf","downloaded","Covers lab and in-situ properties of RFC"
"rfc_full_004","Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete","Wenju Liu; Jianwen Pan","2020","filling_capacity; scc_flow; theoretical_model","open_access_pdf","open access","CC BY 4.0 on MDPI source page","https://www.mdpi.com/1996-1944/13/1/108","https://mdpi-res.com/d_attachment/materials/materials-13-00108/article_deploy/materials-13-00108.pdf","data/fulltext/open_access/rfc_full_2020_liu_filling_capacity_materials_mdpires.pdf","downloaded","Useful for quality-control questions around filling performance"
"rfc_full_005","A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology","Feng Jin; Duruo Huang; Michel Lino; Hu Zhou","2023","review; next_generation_dams; intelligent_quality_control","open_access_pdf","open access","CC BY-NC-ND noted in local seed summary; verify on source before redistribution","https://doi.org/10.1016/j.eng.2023.09.020","https://www.engineering.org.cn/engi/EN/PDF/10.1016/j.eng.2023.09.020","data/fulltext/open_access/rfc_full_2023_jin_review_engineering.pdf","downloaded","Current high-value review source"
"rfc_full_006","A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications","Muhammad Ibrar Ihteshaam; Feng Jin; Xiaorong Xu","2024","elastic_modulus; numerical_modeling; mechanical_properties","open_access_pdf","open access","CC BY 4.0 on MDPI source page","https://www.mdpi.com/2075-5309/14/10/3171","https://mdpi-res.com/d_attachment/buildings/buildings-14-03171/article_deploy/buildings-14-03171.pdf","data/fulltext/open_access/rfc_full_2024_ihteshaam_elastic_modulus_buildings_mdpires.pdf","downloaded","Elastic modulus and mesoscale modeling"
"rfc_full_007","A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete","Muhammad Ibrar Ihteshaam; Feng Jin","2024","review; elastic_modulus; mechanical_properties","open_access_pdf","open access","CC BY 4.0 indicated by journal/ResearchGate page","https://mail.etasr.com/index.php/ETASR/article/view/7126","https://mail.etasr.com/index.php/ETASR/article/download/7126/3731","data/fulltext/open_access/rfc_full_2024_ihteshaam_review_etasr.pdf","downloaded","Short review focused on elastic modulus"
"rfc_full_008","Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method","Can Tang; Xinchao Hou; Yanjie Xu; Feng Jin","2024","seismic_response; dam_engineering; numerical_modeling","open_access_pdf","open access","CC BY 4.0 on MDPI source page","https://www.mdpi.com/2412-3811/9/2/23","https://mdpi-res.com/d_attachment/infrastructures/infrastructures-09-00023/article_deploy/infrastructures-09-00023.pdf?version=1706624514","data/fulltext/open_access/rfc_full_2024_tang_seismic_infrastructures_mdpires.pdf","downloaded","Compares RFC dam and conventional vibrating concrete dam"
"rfc_full_009","3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties","Peng Chen; Youbin Li; Xiaoling Tang; Ning Liu","2025","compressive_behavior; itz; numerical_modeling","open_access_pdf","open access","Open access on Nature source page; verify exact license before redistribution","https://www.nature.com/articles/s41598-025-13668-y","https://www.nature.com/articles/s41598-025-13668-y.pdf","data/fulltext/open_access/rfc_full_2025_chen_3d_mesoscopic_scirep.pdf","downloaded","Recent Scientific Reports article"
"rfc_full_010","Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics","Soheil Mohajerani; Gang Wang; Feng Jin","2025","micromechanics; peridynamics; numerical_modeling","open_access_pdf","open access","Open access on Springer Nature source page; verify exact license before redistribution","https://link.springer.com/article/10.1007/s11440-025-02842-1","https://link.springer.com/content/pdf/10.1007/s11440-025-02842-1.pdf","data/fulltext/open_access/rfc_full_2025_mohajerani_peridynamics_actageotech.pdf","downloaded","Recent Acta Geotechnica article"
